date,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241
31/12/2025,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2026,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2027,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2028,0,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2029,0,0,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2030,0,0,0,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2031,0,0,0,0,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2032,0,0,0,0,0,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2033,0,0,0,0,0,0,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2034,0,0,0,0,0,0,0,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2035,0,0,0,0,0,0,0,0,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2036,0,0,0,0,0,0,0,0,0,105,5,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2037,0,0,0,0,0,0,0,0,0,0,105,5,5,5,5,5,5,5,5,5,5,5,5
31/12/2038,0,0,0,0,0,0,0,0,0,0,0,105,5,5,5,5,5,5,5,5,5,5,5
31/12/2039,0,0,0,0,0,0,0,0,0,0,0,0,105,5,5,5,5,5,5,5,5,5,5
31/12/2040,0,0,0,0,0,0,0,0,0,0,0,0,0,105,5,5,5,5,5,5,5,5,5
31/12/2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,5,5,5,5,5,5,5,5
31/12/2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,5,5,5,5,5,5,5
31/12/2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,5,5,5,5,5,5
31/12/2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,5,5,5,5,5
31/12/2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,5,5,5,5
31/12/2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,5,5,5
31/12/2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,5,5
31/12/2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,5
31/12/2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
